Account;Tweet_Nr;Date_Time;Tweet;;;;;;;;
realDonaldTrump;1229871176614190000;18.02.2020 20:51;"b'What Mini Mike is doing is nothing less than a large scale illegal campaign contribution. He is \xe2\x80\x9cspreading\xe2\x80\x9d money all over the place only to have recipients of his cash payments many former opponents happily joining or supporting his campaign. Isn\xe2\x80\x99t that called a payoff? .....'""";;;;;;;;
realDonaldTrump;1229866940912390000;18.02.2020 20:35;"b'Chris Jacobs will be a great Congressman who will always fight for the people of New York. He supports our #MAGA Agenda will continue to Secure Our Border Loves our Military Vets and is Strong on the #2A. Chris has my Complete Endorsement for the Special Election on 4/28!'""";;;;;;;;
realDonaldTrump;1229863299358940000;18.02.2020 20:20;"b'The Mayor\xe2\x80\x99s efforts to shield illegal aliens endangers the lives of the public and law enforcement who have to go into the field to apprehend those released. He shouldn\xe2\x80\x99t be urging illegals to beat the system he should be urging them to safely turn themselves in! https://t.co/sSJodorcVr'""";;;;;;;;
realDonaldTrump;1229790568110260000;18.02.2020 15:31;"b'.....would order a new trial I\xe2\x80\x99m not so sure about Judge Jackson I don\xe2\x80\x99t know.\xe2\x80\x9d @Judgenap (Andrew Napolitano) @foxandfriends'""";;;;;;;;
realDonaldTrump;1229790566721950000;18.02.2020 15:31;b'.....existence of these tweets in which you were so harshly negative about the President &amp;;;;;;;;
realDonaldTrump;1229790563668500000;18.02.2020 15:31;b'\xe2\x80\x9cJudge Jackson now has a request for a new trial based on the unambiguous &amp;;;;;;;;
realDonaldTrump;1229790102949440000;18.02.2020 15:29;b'....THE UNITED STATES IS OPEN FOR BUSINESS!';;;;;;;;
realDonaldTrump;1229790101728890000;18.02.2020 15:29;"b'....I have seen some of the regulations being circulated including those being contemplated by Congress and they are ridiculous. I want to make it EASY to do business with the United States not difficult. Everyone in my Administration is being so instructed with no excuses...'""";;;;;;;;
realDonaldTrump;1229790100797730000;18.02.2020 15:29;"b'....product and goods to China and other countries. That\xe2\x80\x99s what trade is all about. We don\xe2\x80\x99t want to make it impossible to do business with us. That will only mean that orders will go to someplace else. As an example I want China to buy our jet engines the best in the World....'""";;;;;;;;
realDonaldTrump;1229790099866600000;18.02.2020 15:29;b'The United States cannot &amp;;;;;;;;
realDonaldTrump;1229767823595010000;18.02.2020 14:01;"b'The Crooked DNC is working overtime to take the Democrat Nomination away from Bernie AGAIN! Watch what happens to the Super Delegates in Round Two. A Rigged Convention!'""";;;;;;;;
realDonaldTrump;1229756039475680000;18.02.2020 13:14;b'....BUT MAYBE I STILL WILL. WITCH HUNT!';;;;;;;;
